cluster,n_points,bus_stop,bicycle_parking,station,parking,other,diversity_score,dominant_type
141,6,3,2,1,0,0,3,bus_stop
142,10,9,0,0,1,0,2,bus_stop
143,9,8,1,0,0,0,2,bus_stop
144,10,6,2,2,0,0,3,bus_stop
145,2,2,0,0,0,0,1,bus_stop
146,9,7,1,1,0,0,3,bus_stop
147,7,4,2,1,0,0,3,bus_stop
148,6,6,0,0,0,0,1,bus_stop
149,12,8,3,1,0,0,3,bus_stop
150,6,6,0,0,0,0,1,bus_stop
151,5,5,0,0,0,0,1,bus_stop
152,5,5,0,0,0,0,1,bus_stop
153,19,17,1,1,0,0,3,bus_stop
154,5,3,0,0,2,0,2,bus_stop
155,6,5,0,0,1,0,2,bus_stop
156,5,3,2,0,0,0,2,bus_stop
157,10,4,6,0,0,0,2,bicycle_parking
158,9,8,0,0,1,0,2,bus_stop
159,16,8,8,0,0,0,2,bus_stop
160,7,7,0,0,0,0,1,bus_stop
161,5,5,0,0,0,0,1,bus_stop
162,6,4,0,0,2,0,2,bus_stop
163,5,4,0,1,0,0,2,bus_stop
164,6,5,0,0,1,0,2,bus_stop
165,5,5,0,0,0,0,1,bus_stop
166,5,5,0,0,0,0,1,bus_stop
167,11,11,0,0,0,0,1,bus_stop
168,6,6,0,0,0,0,1,bus_stop
169,5,4,0,1,0,0,2,bus_stop
170,5,4,0,1,0,0,2,bus_stop
171,3,3,0,0,0,0,1,bus_stop
172,6,5,0,0,1,0,2,bus_stop
173,6,6,0,0,0,0,1,bus_stop
174,10,10,0,0,0,0,1,bus_stop
175,12,6,6,0,0,0,2,bus_stop
176,5,2,2,0,1,0,3,bus_stop
177,6,5,0,0,1,0,2,bus_stop
178,3,3,0,0,0,0,1,bus_stop
179,5,5,0,0,0,0,1,bus_stop
180,5,5,0,0,0,0,1,bus_stop
181,5,5,0,0,0,0,1,bus_stop
182,8,4,3,1,0,0,3,bus_stop
183,7,3,0,1,3,0,3,bus_stop
184,5,1,2,0,2,0,3,bicycle_parking
185,7,6,1,0,0,0,2,bus_stop
186,5,4,0,0,1,0,2,bus_stop
187,7,6,1,0,0,0,2,bus_stop
188,7,5,1,1,0,0,3,bus_stop
189,6,6,0,0,0,0,1,bus_stop
190,5,5,0,0,0,0,1,bus_stop
191,5,5,0,0,0,0,1,bus_stop
192,12,0,11,1,0,0,2,bicycle_parking
193,5,2,1,0,2,0,3,bus_stop
194,7,4,3,0,0,0,2,bus_stop
195,5,0,1,1,3,0,3,parking
196,12,6,4,1,1,0,4,bus_stop
